Date,Open,High,Low,Close,Share,Money,Numb
2000/7/14,8309.67 ,8530.50 ,8309.67 ,8497.13 ,2657489171,1.30579E+11,658947
2000/7/15,8569.40 ,8605.04 ,8483.63 ,8518.13 ,2215196897,1.06868E+11,559495
2000/7/17,8601.26 ,8643.21 ,8564.97 ,8585.52 ,2606777000,96923453180,560559
2000/7/18,8582.75 ,8582.75 ,8367.05 ,8368.78 ,1806361904,76616922349,466100
2000/7/19,8275.48 ,8423.59 ,8270.57 ,8411.88 ,1461362886,61531877695,371867
2000/7/20,8355.21 ,8406.05 ,8210.53 ,8219.53 ,1536709307,67816859853,427617
2000/7/21,8273.04 ,8300.68 ,8058.14 ,8167.37 ,1694348218,84422212312,471628
2000/7/24,8132.39 ,8177.70 ,8064.20 ,8064.20 ,1084467989,50994496873,298105
2000/7/25,7984.79 ,8119.63 ,7900.39 ,7900.39 ,1328405071,62242920122,371799
2000/7/26,7944.90 ,8113.27 ,7922.81 ,7961.54 ,1529405677,76068115751,426582
2000/7/27,7932.86 ,7959.96 ,7723.44 ,7956.28 ,1590626359,76062209965,432687
2000/7/28,7861.04 ,8147.79 ,7861.04 ,8122.11 ,2073171432,89720016688,526105
2000/7/29,8086.63 ,8178.74 ,8069.01 ,8143.93 ,1976876469,69560324576,458997
2000/7/31,8154.99 ,8165.12 ,8068.09 ,8114.92 ,1442483000,51361277900,339197
2000/8/1,8171.58 ,8192.73 ,7984.65 ,7984.65 ,1194648296,46606787712,320407
2000/8/2,7985.83 ,8044.87 ,7910.28 ,7916.85 ,1397538538,50105699112,345764
2000/8/3,7888.32 ,7912.40 ,7736.19 ,7844.93 ,1523839837,58333754657,394713
2000/8/4,7881.72 ,8029.14 ,7856.60 ,7925.20 ,1537510846,69247640542,428892
2000/8/5,7926.79 ,7982.71 ,7834.13 ,7841.43 ,1277198809,51758735170,353583
2000/8/7,7804.00 ,7809.44 ,7680.53 ,7715.99 ,1198208000,48619368280,328918
2000/8/8,7751.28 ,7818.67 ,7670.28 ,7797.78 ,1384376572,64041399569,389882
2000/8/9,7866.11 ,8048.14 ,7866.11 ,8048.14 ,2025023025,96996632254,557146
2000/8/10,8087.10 ,8105.63 ,7988.39 ,8024.69 ,1642568623,83570218103,468774
2000/8/11,8012.64 ,8082.07 ,7962.05 ,7974.65 ,1314986849,63099820058,370111
2000/8/14,7977.42 ,7982.13 ,7838.50 ,7848.87 ,904350570,40446318295,260538
2000/8/15,7883.84 ,7913.77 ,7821.74 ,7845.69 ,1018969498,49052452896,297295
2000/8/16,7870.58 ,8023.17 ,7870.58 ,8003.53 ,1429366836,73722077622,401441
2000/8/17,8059.02 ,8143.25 ,8000.46 ,8143.25 ,1832237123,1.02576E+11,522961
2000/8/18,8192.30 ,8276.24 ,8175.35 ,8176.82 ,2361201525,1.25598E+11,648868
2000/8/19,8195.25 ,8234.73 ,8145.94 ,8209.07 ,1487294205,84558474512,457407
2000/8/21,8232.91 ,8305.67 ,8216.42 ,8257.88 ,1985020000,1.12332E+11,557679
2000/8/22,8244.42 ,8244.42 ,8086.66 ,8118.05 ,1576504868,78911738383,465320
2000/8/24,8162.00 ,8222.08 ,8090.18 ,8098.84 ,1461109000,81641465780,411154
2000/8/25,8120.96 ,8142.47 ,8014.95 ,8026.32 ,1366874661,71442090534,393588
2000/8/28,7985.45 ,7985.45 ,7842.53 ,7845.87 ,1127579973,60352666878,334359
2000/8/29,7769.93 ,7828.37 ,7621.13 ,7817.49 ,1580629681,80526509287,445427
2000/8/30,7784.74 ,7809.35 ,7543.96 ,7543.96 ,1673676192,87245415542,480935
2000/8/31,7458.34 ,7661.73 ,7440.81 ,7616.98 ,1882628435,90457249554,490082
2000/9/1,7659.82 ,7660.90 ,7381.01 ,7420.06 ,1918327054,1.01054E+11,518028
2000/9/2,7442.37 ,7713.03 ,7442.37 ,7707.59 ,2116163476,1.13353E+11,558976
2000/9/4,7758.54 ,7814.49 ,7694.71 ,7803.02 ,2136048000,1.21462E+11,562251
2000/9/5,7829.34 ,7829.34 ,7723.14 ,7785.62 ,1677511699,90244836362,467101
